t1,t2
1.07754,0.646625
1.386,0.364734
1.71093,23.3985
2.05006,0.581351
2.40167,-0.0733922
2.76443,26.4611
3.13728,0.77955
3.51933,-0.484757
3.90986,2.64698
4.30824,1.52797
4.71393,0.743852
5.12647,5.66833
5.54545,0.576189
5.9705,0.135198
6.4013,2836.28
6.83756,0.639038
7.27901,-0.247212
7.72542,6.71856
8.17658,1.01242
8.63227,-1.01763
9.09232,1.41496
9.55656,2.51451
10.0248,0.666464
10.497,0.400991
10.9729,18.6051
11.4524,0.577413
11.9355,-0.0502191
12.4219,34.9247
12.9117,0.757604
13.4046,-0.451069
13.9007,2.90591
14.3998,1.445
14.9018,0.802531
15.4066,5.04897
15.9143,0.580315
16.4247,0.162446
16.9377,520.887
17.4533,0.62828
17.9715,-0.223399
18.4921,7.72014
19.0151,0.972804
19.5405,-0.858234
20.0682,1.52995
20.5982,2.33115
21.1304,0.690871
21.6647,0.439023
22.2012,15.1461
22.7398,0.574324
23.2804,-0.0268269
23.823,48.1784
24.3677, 
24.9142, 
25.4627, 
26.013, 
26.5652, 
27.1192, 
27.6749, 
28.2325, 
28.7917, 
29.3526, 
29.9153, 
30.4795, 
31.0454, 
31.6129, 
32.1819, 
32.7525, 
33.3246, 
33.8983, 
34.4734, 
35.05, 
35.6281, 
36.2075, 
36.7884, 
37.3707, 
37.9543, 
38.5393, 
39.1257, 
39.7134, 
40.3023, 
40.8926, 
41.4842, 
42.077, 
42.6711, 
43.2663, 
43.8629, 
44.4606, 
45.0595, 
45.6596, 
46.2609, 
46.8633, 
47.4669, 
48.0716, 
48.6774, 
49.2843, 
49.8923, 
50.5014, 
51.1116, 
51.7228, 
52.3351, 
52.9485, 
